,sensor 1,sensor 2,sensor 3,sensor 4,sensor 5,sensor 6,sensor 7,sensor 8,sensor 9
2020-02-26 14:00:00,716.141845703125,768.760009765625,734.1563720703125,708.9526977539062,661.3672485351562,785.9454345703125,0.0,1637.1126708984375,1814.0946044921875
2020-02-26 13:00:00,743.7431030273438,768.2142944335938,734.226806640625,708.9260864257812,660.7531127929688,786.3834838867188,0.0,1644.379638671875,1819.348388671875
2020-02-26 12:00:00,715.34716796875,769.0515747070312,733.6981201171875,708.5433959960938,659.8226318359375,788.462890625,0.0,1655.562255859375,1831.6138916015625
2020-02-26 11:00:00,645.1641845703125,768.6654052734375,733.4022827148438,708.8383178710938,659.2192993164062,787.7769165039062,0.0,1630.790771484375,1807.932373046875
2020-02-26 10:00:00,628.8980102539062,771.016357421875,733.1019897460938,708.4647216796875,659.6372680664062,789.1435546875,0.0,1570.1549072265625,1748.19775390625
2020-02-26 09:00:00,665.5162963867188,770.1190185546875,732.5989990234375,708.5025024414062,659.527587890625,788.206787109375,0.0,1557.40478515625,1734.7481689453125
2020-02-26 08:00:00,736.2243041992188,770.3195190429688,731.2130126953125,707.576416015625,657.3834838867188,790.4598999023438,0.0,1535.1278076171875,1712.40478515625
2020-02-26 07:00:00,677.6825561523438,770.5031127929688,729.7553100585938,708.8858032226562,657.1392822265625,790.8807983398438,0.0,1545.523193359375,1723.2823486328125
2020-02-26 06:00:00,736.5081787109375,770.1568603515625,728.4717407226562,711.6148071289062,660.8670043945312,786.5169677734375,0.0,1526.4654541015625,1704.065185546875
2020-02-26 05:00:00,729.1907348632812,775.03515625,725.3174438476562,733.3199462890625,687.3826904296875,813.8619995117188,0.0,1480.3902587890625,1679.5972900390625
2020-02-26 04:00:00,730.2275390625,747.7850952148438,720.3211059570312,749.8748168945312,724.943115234375,815.7838134765625,0.0,1591.80908203125,1756.7750244140625
2020-02-26 03:00:00,756.9132080078125,747.9798583984375,720.7710571289062,749.4226684570312,723.9219970703125,816.256591796875,0.0,1592.0830078125,1756.784912109375
2020-02-26 02:00:00,734.1087036132812,747.7433471679688,720.8280639648438,749.5916748046875,726.3211059570312,816.1327514648438,0.0,1592.0897216796875,1757.2528076171875
2020-02-26 01:00:00,764.1448364257812,748.5012817382812,720.8388061523438,749.74560546875,724.7431030273438,816.2871704101562,0.0,1592.9130859375,1758.0869140625
2020-02-26 00:00:00,747.2998657226562,748.1317138671875,720.9949951171875,749.8507080078125,721.5357666015625,816.5947265625,0.0,1594.802978515625,1759.5985107421875
2020-02-25 23:00:00,696.351806640625,748.9041748046875,721.4363403320312,749.793212890625,718.2698364257812,816.802001953125,0.0,1595.907958984375,1760.8751220703125
2020-02-25 22:00:00,606.0541381835938,749.5189208984375,721.9168701171875,749.6461181640625,719.2644653320312,816.3703002929688,0.0,1597.443359375,1762.8828125
2020-02-25 21:00:00,533.6904907226562,749.8195190429688,721.8909912109375,749.359619140625,721.81201171875,815.6353149414062,0.0,1599.545166015625,1764.680419921875
